Owner name,Agency name,Email,Address,Telephone,Telephone 2,Thumbnail image URL
"Mr. Mintu Biswas, Proprietor",S. M. Travels & Tours,minto241@yahoo.com,"Road # 23/2, House # 119, CDA R/A,",['01819827650'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_3072/OwnerPhoto_S. M. Travels & Tours.jpg
"Naaj Farhana Ahmed, Chairman",Star Aviation & Tourism Ltd,mzr.jibon@gmail.com,"Bashati Condominium (G/F), House # 15, Road # 17,",['01714029554'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Mr. Syed Masud Hossain, Proprietor",S. M. Tours & Travels,smtraval12@yahoo.com,"Agrabad Jame Masjid Complex (1st Floor), 69 Agrabad C/A Chittagong-4100, Bangladesh",01715608300, 01886730439,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_3074/OwnerPhoto_S  M Tours & Travels 779.jpg
"Mr. Abdur Rahman, Proprietor",S M Travels International,smtravelsint@gmail.com,"Sahazadpur Bazar,Sahazadpur ,",['01922599133'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_3075/OwnerPhoto_S M Travels International.jpg
"Mr. Md. Habibur Rahaman, Proprietor",SM Travels,info@rahmaniacorporation.com,"Rahamania Mansion, House-23,Road#1/C,Nikunja-2, Khilkhet, Dhaka.",[''],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_3076/OwnerPhoto_SM Travels.png
"Mr. Kawsar Ahmed, Proprietor",Papya World Wide Solutions,papyagroup@gmail.com,"Shohidnagar Bazar, Patanusher, Kamalgonj",01726776951, 01835124895,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_3077/OwnerPhoto_owner.jpg
"MD. Tauhid UL Haque, Managing Director",Peerless Travels & Tourism Limited,Info@peerlesstravels.com,"9/B R.K. Mission Road, Motijheel",['01714122985'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_3078/OwnerPhoto_PEERLESS TRAVELS & TOURISM LIMITED.jpg
"Mr. Muhammad Abdul Kader, Managing Director",Pioneer Trading Corporation Ltd,ask@pioneer-foundation.org,"99, Kazi Nazrul Islam Avenue, Dhaka Trade Centre (15th Floor)",['01751775566'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_3079/OwnerPhoto_owner.jpg
"PRODIP KUMAR DATTA, PROPRIETOR",PMB Tours & Travels,info@pmbtravels.com,"DHANMONDI TOWER (3RD FLOOR), HOUSE # 4/A, ROOD # 27 (OLD), NEW # 16",['01711526848'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_3080/OwnerPhoto_owner.jpg
"Mr. Syed Hamduzzaman Bablu, Managing Director",Syed Tours & Travels Ltd.,demo-406b037c-8016-4099-bd73-a429c87828ee@gmail.com,"221/1, Vashantak,",01755568900, 01755568901,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Mr. MD. JUMMAN UDDIN, Managing Partner",SAMEER TOURS & TRAVELS,jumman1303@yahoo.com,"priton Bhaban, Road # 14, 215, Shahid Syed Nazrul Islam Sarani,",01937765968, 01783444442,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_3082/OwnerPhoto_SAMEER TOURS & TRAVELS.jpg
"Mr. Hafaj Kauser Ahmed, Proprietor",Khidmah Overseas,khidmah.overseas@gmail.com,"VIP TOWER LEVEL-05,5(B) 51/1 VIP ROAD ,NAYAPALTAN,DHAKA-1000.",['01710289858'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_3083/OwnerPhoto_Khidmah Overseas.jpg
"Mr. Shah Poran, Proprietor",Shah Travels Aviation,shahtravels2016@gmail.com,"15 Bashati Condominium (7th Floor), Road # 17, Block # C, Banani, Dhaka",01970504797, 01970504797,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_3084/OwnerPhoto_owner.jpg
"Mohammad Yasin Chowdhury, Proprietor",Pancom International Agencies,demo-2602cfac-19dd-4747-92a8-46c78a1b9207@gmail.com,10 H.S. Sohrawardi Road,[''],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_3085/OwnerPhoto_owner.pdf
",",Parabat Air Services,demo-948a67be-4772-4885-a873-f7819fa27536@gmail.com,"3, Motijheel, Inner Circular Road",[''],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_3086/OwnerPhoto_owner.pdf
"Mr. Tapash Pramanik, Managing Director",Skyliners Air Tours & Travels Limited,demo-884f513f-5610-4ecf-aa48-cad4c5e05c5b@gmail.com,"33, Kakrail (1st Floor),",[''],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Lokman Ahmed Rana, Proprietor",Rana Tours and Travels,ranatours2015@gmail.com,"44, Mukto Bangla Shopping Complex, 4th Floor,",01798594735, 01798594736,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_3088/OwnerPhoto_Rana Tours and Travels.jpg
"MD. Mosarraf Hossain, Proprietor",Patuakhali Travels & Tours,patuakhalitravels1098@gmail.com,"232, Puran Hospital Road, Notun Bazar, Patuakhali",['01712905790'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_3089/OwnerPhoto_Patuakhali Travels & Tours.png
",",Penang Travels & Tours (Naya Paltan),mailalfalah@yahoo.com,"Suit # 3D, Shanjari Tower, 78",['01819443031'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_3090/OwnerPhoto_owner.jpg
"Mr. Aftab Ahmed, Chairman",Pleasure Travels Limited,demo-2566854a-8cd9-4b04-9cbb-bdf4d0d52624@gmail.com,"32, Naya Paltan, D.I.T. Extension Road",[''],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Mohammed Tarec, Propaietor",Shahida Travels International,shahidatravels@ourdain.com,"H-69,Shaikh kamal villa (1st fioor),New Airport,Road,Amtoli",['01726176838'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Fakkhrul Hasan, Partner",SF Air International,demo-d7e65a8a-8d00-4896-ab14-7571820274f2@gmail.com,"53.Naya palton,(1st Floor) DIT.SXT. Road,Dhaka",['01711365667'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Sazzad Hossain Choudhury, Proprietor",Study overseas Solution,sos.dhik@gmail.com,"813 Babupara,(1st fioor),Nilkhet, Dhaka-1205",['01715402526'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
",",Popular Travel & Tours,demo-ce23d5fa-c6d8-40ce-8b49-1ce88558ebbc@gmail.com,S.Alam Center,['01819872189'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_3095/OwnerPhoto_owner.png
"Mr. Mirza M. Moinuddin, Chairman",Safe Way Travels Limited,sfwday89@yahoo.com,"53, DIT Extn Road,",[''],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Mr. Mohammed Enamul Haque, Proprietor",Sweety Tours & Travels,demo-cd5e02cd-aae2-4525-953e-cbb3d99e20d2@gmail.com,"91-92, Aminbagh Co-Operative Super Market,",[''],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Mohammed Atiqul Rahman, Priprietor",Prince Air International,demo-9aa1259a-65f8-4211-94df-b1d8485c80e3@gmail.com,"18, Kamal Ataturk Avenue",[''],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_3098/OwnerPhoto_owner.pdf
"Md. Shafiqul Haider Chowdhury, Managing Director",Probashi Travels International,demo-8a3580e4-2450-4ed8-8d11-93164cb9dac5@gmail.com,"9/C, Motijheel Commercial Area",[''],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Mr. A. F. M. Hassan, Proprietor",Standard Travel International,demo-8c5130de-0366-4fdb-8671-a068b215835a@gmail.com,"6B, Jalsa Cinema Bldg.,",[''],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Mr. Md. Amir Hossain, Managing Director",Sky Bird Travel Agents (Pvt.) Ltd.,skybirdcgp@gmail.com,"Al-Madina Tower (3rd Floor), 88/89 Agrabad C/A,",[''],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"MR. A. Quaiyum Khan, Director",Padma Aviation Ltd.,demo-c635030e-c34b-4976-bc2a-cab3b2c79e50@gmail.com,Dhaka Chamber Building,[''],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Mahmudul Mannan Chowdhury, Managing Partner",Plaza Travels,demo-6c6b5597-c2a9-4a6a-8346-8b1b4fdccf8b@gmail.com,"221, Jubilee Road",[''],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_3103/OwnerPhoto_owner.pdf
"A. T. M. Rafiqul Hafiz, Managing Director",Seasons Travel Ltd.,demo-b6d9c64a-1fa3-4914-b30f-a70c7adb08e5@gmail.com,"56, Dilkusha C/A, Dhaka 1000",[''],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Mizanur Rahman Chowdhury, Proprietor",Sugandha Air International,demo-aa1c1e26-a54f-4a63-a45f-31992648564a@gmail.com,"144, D.I.T. Ext Road (1st Floor), Fakirapool, Motijheel, Dhaka 1000",[''],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Mr. Shake Nur Islam, Proprietor",S. I. Travels & Cargo Services,demo-f9cbb2c0-3954-49d0-863c-b4be97d4c362@gmail.com,"22/7, Free School Street, 8/29 Eastern Plaza, Dhanmondi, Dhaka",[''],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Mr. Md. Rashid Ahmed Kazal, Managing Partner",Star World Tours & Travels,swtt@dhaka.net,"60/D (South), Road-131,",[''],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Md.Habibur Rahman , proprietor",Southern Travels & Tours,southertravel2008@hotmail.com,"Habib center (6th floor),128,New Eskaton Road,Dhaka-1000.",['01713006226'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_3108/OwnerPhoto_owner pic.jpg
"Mr. Mostafa Kamal, Proprietor",Shalda Travels,demo-fcb2090a-3caa-45a5-b66a-ccba7526fdaa@gmail.com,"55 Kazi Nazrul Islam Avenue, Tejgoan, Dhaka",[''],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Mr. Mustafa Jalal Kowsar, Proprietor",Savana LInks,demo-71568543-5893-4dd1-992b-c637773fb003@gmail.com,"32 Nayapaltan (3rd Floor), D.I.T. Extension Road, Dhaka 1000",[''],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Mr. A. B. M. Faruque, Chairman",Swift Travels Ltd.,jtourism@dhaka.net,"House # 122, Road # 12 & 13, Section # 1, Jasimuddin Avenue, Uttara, Dhaka 1230",[''],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_3111/OwnerPhoto_owner.png
"Mr. Lion Md. Saiful Islam, Proprietor",Saiful Air International,ayeshaoverseasrl1665@gmail.com,"51/1, VIP Tower (8th Floor) Room No-8/D, VIP Road, Naya Paltan, Dhaka-1000.",['01822853822'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_3112/OwnerPhoto_Saiful Air International.jpg
"Samycon Aviation, Proprietor",Samycon Aviation,samycon@bdcom.com,"House,#99,Road#07,",['0189264721'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"MD. Mostafa Kamal, Proprietor",P. I. Travels International,demo-5a849c75-ac4d-445e-96f3-463da059b4dd@gmail.com,"47, Dilkusha C/A",[''],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Mr. Azad Kabir, Proprietor",Skyroute Travels,demo-a82fe4ec-67db-4528-bd94-20d84388d837@gmail.com,"71, Motijheel C/A,",[''],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Mr. Md. Mamun Reza Chowdhury, Proprietor",Saudia Travels Service,saudiatravelsservices@yahoo.com,"204, Shahid Syed Nazrul Islam Sharani, Aziz Co-operative,",[''],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Syed Farhad Ahmed, Managing Director",Pathfinder Travel Network Ltd,pathfinder@global-bd.net,BTA Tower (11th Floor),['0171539927'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_3117/OwnerPhoto_owner.pdf
"Mr. Md. Jamal Hossain, Proprietoe",Sunity Overseas,info@sunitybd.com,"CWN(A) 3B, APT-1B, Road-49, Gulshan,",[''],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_3118/OwnerPhoto_Owner Photo.jpg
"Mr. Md. Shahjahan, Propritor",Shahjahan Travels & Tours,demo-6eb1a9da-433b-48b5-b4d3-7334e2955824@gmail.com,"2/2, R. K. Mission Road, Sutrapur, Dhaka-1000",[''],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Mr. Sadeque Ahmad Siddique, Proprietor",Shahi International,demo-9cc90c7c-c93e-4226-8e02-d04edaa4f90d@gmail.com,"Al-Razi Complex, Suite # D-804, 166-167 Shahid Syed Nazrul Islam Sharani, Bijoynagar, Dhaka-1000.",['01819-403971'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_3120/OwnerPhoto_shahi int 254.jpg
"Alamgir Kabir Salim, Proprietor",Promote Travels International,psc@bdcom.com,"33, Topkhana Road, Meherba Plaza",['0175017746'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Md. Israil, Proprietor",Pubali Travels,demo-9b56e73d-f239-4814-bceb-a13433617e66@gmail.com,"Tajpur Bazar, Osmani Nagor  Sylhet.",['0171067272'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Mrs. Sultana Rezia Begum, Chairman",Saffrona Travels Ltd.,demo-b0e65883-78be-4688-806d-1d877b184d81@gmail.com,"Kashfia Plaza, 923/A, Agrabad, Sk. Mujib Road, Chittagong",[''],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Mr. Aslam Khan, Proprietor",S. S. Aviation,demo-4ebf4888-1358-4911-a8ad-3669c66dbe8e@gmail.com,"55/1 Purana paltan, Dhaka-1000",[''],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Ashraful Islam Naeem, Proprietor",Delete Al Asfacq International,demo-c967453a-4176-404e-887e-78bef6ec91dc@gmail.com,"Hasan Bhaban (1st Floor) 27/11/3-C,",01716045643, 01781757625,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Mr. Shaikh Abdullah, Managing Partner",Delete 321,demo-dd0bc4aa-3a75-4c1f-bcb9-3fcf5ccdfa81@gmail.com,"45 Dilkhusha C/A, Zaman Court, Mothijheel, Dhaka 1000",[''],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Meer M.R.I. Rafi, Proprietor",Porosh Travels Corporations,demo-8e5d191e-5c5a-4b2c-b73e-3ffb625e08c2@gmail.com,"11/13 (1st Floor), Block-B, Main Road",[''],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_3128/OwnerPhoto_owner.pdf
"Md. Moniruzzaman Khan, Proprietor",President Travels,demo-412c7034-11a2-4eb3-9c31-e40bbde2a196@gmail.com,,[''],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Ismail Hossain, Proprietor",Prova Tours & Travels,demo-36ebfc7e-005a-4f05-b612-0044c37caf25@gmail.com,"H/87, New Airport Road",['0173011904'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Sheikh Nurul Hoque, Proprietor",Pride Tours & Travels,demo-00fe6215-9020-4136-9f4f-257fc05af845@gmail.com,"28 Kawran Bazar, Taj Mansion (3rd Fl)",['01718154996'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Mr. Md. Aminul Islam Babe, Proprietor",Shahreen Travels & Trading,demo-028debd4-9993-48b8-a926-f15ed26c4fd0@gmail.com,"2 Chandrima Super Market (1st Floor), Newmarket Complex, Newmarket,",[''],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_3132/OwnerPhoto_Representative Photo.jpg
"Mr. Abul Hashem, Managing Partner",Standard Hajj Tours & Travels,standardhajjbd@gmail.com,"71, Kawranbazar, Pushpo Plaza (1st Floor), Dhaka.",['01818858448'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_3133/OwnerPhoto_22.jpg
"Mr. Shah Zakir Hossain Dulal, Managing Director",Profile Tours Ltd,demo-393a624c-a3d0-4972-903c-839a9e0ae289@gmail.com,"House no-33-E, Road no 17",[''],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Mr. Anwar Hussain, Proprietor",Sumaiya Travels & Tours,demo-2e9778d9-5330-483c-9ef8-1451f4ca10ef@gmail.com,"7/8 Idris Bhabin, Mohazon Potty (2nd Floor),",0175003069, 01711983554,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_3135/OwnerPhoto_Owner Photo.jpg
"Mr. S. M. A. Rahman, Proprietor",Smart Sweet Dreams Travels & Tours,smartsweetdreams@gmail.com,"Sattara Centre (8th Floor), 30/A, Naya Paltan,",[''],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_3136/OwnerPhoto_Owner Photo.jpg
"Mr. Md. Mesbah Uddin, Proprietor",Sea-Cell Tours & Travels,seacell698@gmail.com,"8, Shahid Shanbadik Selina Pervin Sarak, 13D, Tropical Gulfesa Plaza, (13th Floor), Magbazar, Dhaka",['01973008012'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_3137/OwnerPhoto_Sea- Cell Tours & Travels.jpg
"MD.Nurul Alam Chatgami, proprietorship",Shane Ahmadia Travel Agency,demo-9efcaf61-eeb6-476f-9e20-b61a70907b5b@gmail.com,"83,Muradpur,",['0189314803'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Mr. Jafar Iqbal Sohag, Proprietor",Shohag Air International,demo-df712589-22f3-4dc4-b895-a5caba30673a@gmail.com,"116/117 DIT Ext. Road(3rd Floor), G-NAT Tower, Fakirapool, Dhaka-1000",[''],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
",",Sangeeta Travels Overseas,demo-3d75687d-d78d-4a6e-8d6f-7374e81434c0@gmail.com,,[''],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Mr. Md. Ismail Shikder, Proprietor",Sikdar Travel & Tourism,demo-69f0242e-e883-48a2-97df-9fa2a6ee2701@gmail.com,"9/C, Motijheel C/A,",[''],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Mr. Rafique Ahmed Chowdhury, Proprietor",Sami Travel International,demo-a5b06f77-3071-450f-ac17-9e3e2e4bd6e5@gmail.com,"11/12, PWD Employees union Com, Agrabad,",[''],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Kazi Alif, Managing Partner",Sirajam Monira Aviation,Monira.sirajam@yahoo.com,"46-kazi Nazrul Islam Avenue, Ahmed-Mansion (4th floor),",['01713049750'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Haji Md. Zilu Khan, Managing Partner",Sonali Travels,demo-906fd388-0a4c-4b21-998e-d1437ef454c6@gmail.com,"Mita Mension, Shahajalal Link Road, Mendibagh,",[''],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_3145/OwnerPhoto_Representative Photo.jpg
"A.T.M.Rashid Uddin, Proprietor",Shah Majidia-Rashidia Hajj Kafela & Travels,shahmrtravel@yahoo.com,"Akram Tower (2nd Floor-A), 28/33, Sirajuddowla Road, Anderkilla, Chittagong","['01888060810', ' 01711989404', '01888060820 (Whatsapp', ' imo)']",,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_3146/OwnerPhoto_shah mojidia.JPEG
"Mr. Mohd. Rasheduzzaman, Proprietor",Speed Tours & Travels,demo-7881a21c-2eb1-47f6-89d5-31945676db80@gmail.com,"House-42, Road-2/A,",[''],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"MD.Sazzad Hossain Khan, Proprietorship",Sazzad Travels & Tours,demo-1ce08fe0-3595-4266-80e2-a40f864bb98b@gmail.com,"Saturia Basstand,",['01713-561073'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"MD.Habibur Rahman, Proprietorship",delete S.K. Travels Int,sk.travels@yahoo.com,"116/117-Fakirapool,-g-",[''],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Mr. Md. Mahbubur Rahman, Managing Director",Sky Air Travels & Tours Limited,skytravels7@gmail.com,"65/2/1 Purana Paltan, Box Culvate Road, Dhaka.",['01713363529'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Mr. Mohammed Saifuddin, Proprietor",S. Air International,demo-c48e89c6-1f79-4768-9012-15c262010610@gmail.com,"51, Adhunik Chawk Supper Market, Chawk Bazar, Chittagong",['0189892842'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_3151/OwnerPhoto_IMG_20181212_0005.jpg
"Ms. Ginia Yasmin , Chairman",Super Holidays Travels & Tours Ltd.,superholidaysbd@gmail.com,"Bashati Condominium, Flat # B-11(11th Floor), House# 15, Road# 17, Banani C/A, Dhaka-1213",['01196095337'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_3152/OwnerPhoto_IMG_20181212_0005.jpg
"MD. SHAHIDUL ISLAM, Proprietor",S. I. Travel International,win.inair@yahoo.com,"70/B, (2nd Floor), DIT Extension Road,Malibagh, Chowdhury Para, Dhaka.",['01713514908'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_3153/OwnerPhoto_2917.jpg
"Mr. Mohammad Roushan Ali,, Proprietor",Sadia Travels,sadiatravels08@gmail.com,"67, Nayapaltan, City Heart Building(8th Floor), 97/-A, Dhaka",['01726544349'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
",",S.S International Travels & Tours,demo-d6e15955-c45f-4b34-9469-dcb6e24f11de@gmail.com,,[''],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Mr. Akbar Hossain Faruk, Proprietor",S.S. International Travels & Tours,demo-6dcea6b0-b78f-4e9e-9ab2-c8ca104f48ec@gmail.com,"15/16 Mouban Super Market, (G/F), 123,New Kakrail Road",['01710-702111'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_3157/OwnerPhoto_OwnerPhoto_S. S. International Travels & Tours.jpg
"MD.Sharif Ullah, Proprietor",Sharif Air International,sharif@gmail.com,"55,Puran Palton(2nd floor),Siddique",['01722-26926'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Siddiqur Rahman, proprietor",Siddiquia Tours & Travels,demo-980a976d-b14a-4625-b7f2-3768f75f3157@gmail.com,"House#19 Road # 17, Priyo Pragon ,Towerx",['01730335302'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"MD.Shahidul Islam, Proprietor",delete 9,demo-cdc7ee09-1738-4195-b877-de111bfdcfc0@gmail.com,"476/A-2(3rd floor),",['01713514908'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Mrs. Shirtaj Osmani, Proprietor",Shining Star Aviation Services,s.star.aviation1@gmail.com,"40/2 North Avenue, Unicorn Plaza (1st Floor),","['01818420053', ' 01754828695', ' 01712855695']",,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_3161/OwnerPhoto_Owner Photo.jpg
"Mr. Md. Shah Alam, Proprietor",S-Alam Travel & Tours,demo-390151e6-9c14-49d0-9e3c-c8bafbc87ede@gmail.com,"60, Dilkusha C/A,",[''],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_3162/OwnerPhoto_Owner Photo.jpg
"Mr. Mohammed Samir Ali , Managing Partner",Swadesh Travels,demo-8dd41187-958c-4658-8224-2871c527711b@gmail.com,"213, Shahid Sayed Nazrul Islam Sharani (2nd Floor),",019388311, 019364206,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_3163/OwnerPhoto_Representative Photo.jpg
"Mr. Md. Shah Alam Sheikh, Managing Partner",Shah Air Travels & Tours,demo-c79e0f3b-347c-453c-b607-f3c004e3765b@gmail.com,"2/C, Purana Paltan, Shawon Tower (13th Floor),",[''],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_3164/OwnerPhoto_Representative Information.jpg
"Mr. Md. Sala Uddin Khan, Managing Partner",S. N. Travel,demo-91cb1b0d-a542-4171-968d-f14b6ddb3107@gmail.com,"350/A CDA Avenue, Chandgaon, Chittagong",[''],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_3165/OwnerPhoto_IMG_20181217_0001.jpg
"Mrs. Shamima Haider Chowdhury, Chairman",S. T. S. Telecom Limited,info@ststelecomltd.com,"Shezan Point, Level 4 & 5, 2 Indira Road,",[''],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Mr. Abdul Ahad, Proprietor",Salafi Travels,salafitavels@yahoo.com,"69,Nowdapara,Textile More,Shamakhdum,Sapura,Rajshahi",['017122870119'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_3167/OwnerPhoto_IMB2D8~1_001.jpg
"Mr. Siraj Uddin Sharif, Proprietor",Saas Aviation Services,demo-c48fd53f-e9f0-40e0-af94-a4a3cb4b4935@gmail.com,"43 Dilkusha C/A, Motijheel, Dhaka 1000",[''],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Mr. Abu Naser, Proprietor",Sunity Overseas (Travel Agent),demo-954cf645-ca62-4022-9e26-69b8f6df4683@gmail.com,,[''],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Mr. Mohammad Salek Uddin, Proprietor",Sharif Travels (Mr. Salek Uddin),demo-bdf72d90-503b-419d-9833-eeca0b4eac1e@gmail.com,,[''],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_3170/OwnerPhoto_IMG_20181217_0006.jpg
"Mr. Masud Alam, Managing Director",Setu Air Int'l Ltd.,demo-caa4a218-e5e6-4f69-8b1a-7ca818ea3d87@gmail.com,"H#66, R#10, Block#D, Banani, Dhaka-1213",['01716773211'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Mr. Saiful Haque	, Proprietor",Smart Tours & Travels,demo-31a2a110-acd1-4a3d-a175-f65009ac1f0e@gmail.com,"Rahmania International Complex  28/1-C, Toyenbee Circular Road(9th Floor), Suit-9, Dhaka-1000.",['01758757000'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_41803/1704796868064-652199630.jpg
"Mr. Mohammed Ansar Ali, Proprietor",Salma Air International,salmaair1962@gmail.com,"Al- Marjan Shopping Center (1st Floor), Block # B,",['01716033770'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_3173/OwnerPhoto_3356.jpg
"Mrs. Sinthya Rashed , Chairman","SYR Tours, Travels & Counselors Limited",info@syrtravels.com,"SHOP #37-38, 12/14, LANDMARK SHOPPING CENTRE,",['01714166152'],,"https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_3174/OwnerPhoto_SYR TOURS, TRAVELS & COUNSELORS LTD..jpg"
